256 256
-0.871 -5.953 -7.0308
-0.824 -5.953 -7.03376
-0.776 -5.953 -7.03071
-0.729 -5.953 -7.02526
-0.682 -5.953 -7.02049
-0.635 -5.953 -7.02017
-0.588 -5.953 -7.02648
-0.541 -5.953 -7.04158
-0.494 -5.953 -7.06544
-0.447 -5.953 -7.09321
-0.4 -5.953 -7.11558
-0.353 -5.953 -7.12748
-0.306 -5.953 -7.12469
-0.259 -5.953 -7.11076
-0.212 -5.953 -7.08962
-0.165 -5.953 -7.06619
-0.118 -5.953 -7.04545
-0.071 -5.953 -7.03
-0.024 -5.953 -7.02222
0.024 -5.953 -7.02262
0.071 -5.953 -7.03223
0.118 -5.953 -7.05
0.165 -5.953 -7.07455
0.212 -5.953 -7.10262
0.259 -5.953 -7.1283
0.306 -5.953 -7.14651
0.353 -5.953 -7.15671
0.4 -5.953 -7.15714
0.447 -5.953 -7.14924
0.494 -5.953 -7.13703
0.541 -5.953 -7.12829
0.588 -5.953 -7.12923
0.635 -5.953 -7.14282
0.682 -5.953 -7.16539
0.729 -5.953 -7.18795
0.776 -5.953 -7.20208
0.824 -5.953 -7.20376
0.871 -5.953 -7.19448
0.918 -5.953 -7.17642
0.965 -5.953 -7.15399
1.012 -5.953 -7.13378
1.059 -5.953 -7.12132
1.106 -5.953 -7.11931
1.153 -5.953 -7.12664
1.2 -5.953 -7.13826
1.247 -5.953 -7.14664
1.294 -5.953 -7.1456
1.341 -5.953 -7.1336
1.388 -5.953 -7.11714
1.435 -5.953 -7.10575
1.482 -5.953 -7.1082
1.529 -5.953 -7.12503
1.576 -5.953 -7.15389
1.624 -5.953 -7.18691
1.671 -5.953 -7.21299
1.718 -5.953 -7.22282
1.765 -5.953 -7.20983
1.812 -5.953 -7.17703
1.859 -5.953 -7.13407
1.906 -5.953 -7.09179
1.953 -5.953 -7.0589
2.0 -5.953 -7.0398
2.047 -5.953 -7.0367
2.094 -5.953 -7.04705
2.141 -5.953 -7.06358
2.188 -5.953 -7.07322
2.235 -5.953 -7.06409
2.282 -5.953 -7.03567
2.329 -5.953 -6.99934
2.376 -5.953 -6.96934
2.424 -5.953 -6.9512
2.471 -5.953 -6.9437
2.518 -5.953 -6.94278
2.565 -5.953 -6.9494
2.612 -5.953 -6.96842
2.659 -5.953 -7.00485
2.706 -5.953 -7.05872
2.753 -5.953 -7.12324
2.8 -5.953 -7.18755
2.847 -5.953 -7.24023
2.894 -5.953 -7.27376
2.941 -5.953 -7.29044
2.988 -5.953 -7.29439
3.035 -5.953 -7.28976
3.082 -5.953 -7.28239
3.129 -5.953 -7.27418
3.176 -5.953 -7.26589
3.224 -5.953 -7.25606
3.271 -5.953 -7.24478
3.318 -5.953 -7.23134
3.365 -5.953 -7.22128
3.412 -5.953 -7.22126
3.459 -5.953 -7.23563
3.506 -5.953 -7.26222
3.553 -5.953 -7.28878
3.6 -5.953 -7.30647
3.647 -5.953 -7.30872
3.694 -5.953 -7.30097
3.741 -5.953 -7.28945
3.788 -5.953 -7.28114
3.835 -5.953 -7.28282
3.882 -5.953 -7.29961
3.929 -5.953 -7.32874
3.976 -5.953 -7.35996
4.024 -5.953 -7.3782
4.071 -5.953 -7.37787
4.118 -5.953 -7.36288
4.165 -5.953 -7.34266
4.212 -5.953 -7.32469
4.259 -5.953 -7.31508
4.306 -5.953 -7.32038
4.353 -5.953 -7.34314
4.4 -5.953 -7.38116
4.447 -5.953 -7.42559
4.494 -5.953 -7.46289
4.541 -5.953 -7.48329
4.588 -5.953 -7.48896
4.635 -5.953 -7.49076
4.682 -5.953 -7.494
4.729 -5.953 -7.50061
4.776 -5.953 -7.50626
4.824 -5.953 -7.50921
4.871 -5.953 -7.51069
4.918 -5.953 -7.51313
4.965 -5.953 -7.51679
5.012 -5.953 -7.51495
5.059 -5.953 -7.50388
5.106 -5.953 -7.48117
5.153 -5.953 -7.45249
5.2 -5.953 -7.42711
5.247 -5.953 -7.41437
5.294 -5.953 -7.41723
5.341 -5.953 -7.4348
5.388 -5.953 -7.46174
5.435 -5.953 -7.48922
5.482 -5.953 -7.50715
5.529 -5.953 -7.50657
5.576 -5.953 -7.48334
5.624 -5.953 -7.44319
5.671 -5.953 -7.39492
5.718 -5.953 -7.34626
5.765 -5.953 -7.30708
5.812 -5.953 -7.28495
5.859 -5.953 -7.28574
5.906 -5.953 -7.31272
5.953 -5.953 -7.36411
6.0 -5.953 -7.43002
-6.0 -5.906 -7.55297
-5.953 -5.906 -7.54815
-5.906 -5.906 -7.55273
-5.859 -5.906 -7.56442
-5.812 -5.906 -7.57795
-5.765 -5.906 -7.58868
-5.718 -5.906 -7.59473
-5.671 -5.906 -7.59658
-5.624 -5.906 -7.5958
-5.576 -5.906 -7.59177
-5.529 -5.906 -7.58561
-5.482 -5.906 -7.57661
-5.435 -5.906 -7.56066
-5.388 -5.906 -7.53402
-5.341 -5.906 -7.49488
-5.294 -5.906 -7.44834
-5.247 -5.906 -7.40417
-5.2 -5.906 -7.37226
-5.153 -5.906 -7.35648
-5.106 -5.906 -7.35334
-5.059 -5.906 -7.35397
-5.012 -5.906 -7.35072
-4.965 -5.906 -7.34477
